ID,Call,Locator,lat,lon,hagl in m (Top of Ant.),hamsl in m,Power,ant gain max,Antenna,
1,IU2PJI,JN45rj,45.41342,9.49426,10,84,23dBm,7 dBi,Skyloop 80-10,
3,EX0DX,MN72gu,42.853333,74.54,8,777,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,
4,PY1IFF,GG97bo,-22.40514,-41.84387,10,22,23dBm,1 dBi,Foxtell FOXCAMP 2020,
5,ZS1WRC,JF95ON,-34.42413,19.22485,12,24,23dBm,0 dBi,"Webb FST 2,5 to 30MHz",
6,KL2R,BP64ku,64.853333,-147.126667,10,175,23dBm,0 dBi,Homebrew Trap Vertical,
7,4Z4SI,KM71jd,32.03519,34.89412,20,45,23dBm,2 dBi,Hustler 6-BTV,
8,VU2ITI,MK80eb,10.061889,76.332363,15,19,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,
9,K3WRG,FM28JH,38.31896,-75.21923,10,9,23dBm,2 dBi,GAP TITAN DX 80-10,http://gapantenna.com/shop/antennas/titan-dx/
10,HB9T,JN36VW,46.94642,7.82455,16,847,23dBm,2 dBi,Q-Tek Penetrator,
11,HP1GDP,FJ08FX,8.986,-79.52717,11,30,23dBm,2 dBi,Comet 250B,
12,LU4AA,GF05RI,-34.6424,-58.50863,29,22,23dBm,2 dBi,Foxtell FOXCAMP 2020,https://produto.mercadolivre.com.br/MLB-1524042786-antena-vertical-hf-de-6m-a-80m-sem-acoplador-pronta-entrega-_JM#position=1&search_layout=stack&type=item&tracking_id=378af03f-74f6-4af9-b18f-b69eef773934
13,CE3WSP,FF46PI,-33.65859,-70.72932,10,539,23dBm,2 dBi,Comet 250B,
14,VK4BA,QG62NK,-27.55326,153.12877,8,65,23dBm,2 dBi,Hustler 4-BTV with extra 80m coil,
16,N6UA,DN71qe,41.16393,-104.634,8,1809,23dBm,0 dBi,EFHW 5 Band vertical/inverted L,
17,WB6YRW,CM97af,37.23803,-121.96812,9,93,23dBm,7 dBi,Skyloop 80-10,
18,RT9K,MP84vw,64.91373,77.70588,10,27,23dBm,2 dBi,Hustler 6-BTV,
19,GM1BAN,IO88go,58.604919,-3.451091,4,15,23dBm,2 dBi,MV10 Range  MV6,https://www.sandpiperaerials.com/product/mv-10-range-mv6-61015204080-mtrs/
21,KH6EJ,BK92go,19.58548,-155.45003,10,2498,23dBm,0 dBi,MFJ 1982-LP ,
22,S77HQ,LI75ri,-4.64387,55.47417,10,1,23dBm,5 dBi,DX Commander ABV,
23,5T5PA,IL10lw,20.77225,-17.04768,30,1,23dBm,1 dBi,EFHW 8 Band,
24,W9VW,EM79dt,39.815694,-85.729132,12,276,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,
25,3D2UR,RH91fu,-18.1489,178.445971,,9,23dBm,0 dBi,MEF-330-2K EFHW,
26,DU1EV,PK04mp,14.62720022,121.0763004,16,25,23dBm,2 dBi,Comet 250B,
27,CP6AA,FH73fq,-17.80276,-63.16694,10,419,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,
29,VU2OB,ML88op,28.61779,77.21972,10,214,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,
30,HS0AC,OK04hc,13.71665,100.42847,10,6,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,
31,ZL2KO,RE79uo,-40.396667,175.54,10,467,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,
32,R0CBZ,PO80mn,50.54544,137.00331,11,28,23dBm,0 dBi,Homebrew Trap GP,
33,ZS6MRK,KG44dh,-25.76208,28.30852,,1367,23dBm,0 dBi,Butternut HF9V or EFHW,
34,CE7UPK,FE34tm,-45.46028,-72.36339,10,63,23dBm,1 dBi,MFJ 1982-LP ,
35,ZD9SSS,IE59bp,-40.34932,-9.88031,,400,23dBm,0 dBi,"Webb FST 2,5 to 30MHz",
36,M0JUJ,IO90lu,50.84697,-1.07477,9,2,23dBm,1 dBi,EFHW 5 Band vertical/inverted L,Using his own 80to10 Transmitter
37,VY0ERC,ER60tb,80.05337,-86.416018,10,500,23dBm,0 dBi,EFHW 5 Band,
38,YB3PET,OI62jq,-7.2758,112.7937,,5,23dBm,0 dBi,Broadband vertical,
39,PY7ZC,HI21FS,-8.236611,-35.521489,10,467,23dBm,0 dBi,EFHW 8 Band,
40,TF3D,HP93lu,63.8551256,-21.0417492,10,7,23dBm,0 dBi,Hustler 5BTV ,
41,BX6AP,PL03bd,23.15981,120.15608,10,9,23dBm,0 dBi,GAP TITAN DX 80-10,